Date,BRENT
,BZ=F
1/13/2012,110.4400024
1/17/2012,111.5299988
1/18/2012,110.6600037
1/19/2012,111.5500031
1/20/2012,109.8600006
1/23/2012,110.5800018
1/24/2012,110.0299988
1/25/2012,109.8099976
1/26/2012,110.7900009
1/27/2012,111.4599991
1/30/2012,110.75
1/31/2012,110.9800034
2/1/2012,111.5599976
2/2/2012,112.0699997
2/3/2012,114.5800018
2/6/2012,115.9300003
2/7/2012,116.2300034
2/8/2012,117.1999969
2/9/2012,118.5899963
2/10/2012,117.3099976
2/13/2012,117.9300003
2/14/2012,118.1600037
2/15/2012,118.9300003
2/16/2012,120.1100006
2/17/2012,119.5800018
2/21/2012,121.6600037
2/22/2012,122.9000015
2/23/2012,123.6200027
2/24/2012,125.4700012
2/27/2012,124.1699982
2/28/2012,121.5500031
2/29/2012,122.6600037
3/1/2012,126.1999969
3/2/2012,123.6500015
3/5/2012,123.8000031
3/6/2012,121.9800034
3/7/2012,124.1200027
3/8/2012,125.4400024
3/9/2012,125.9800034
3/12/2012,125.3399963
3/13/2012,126.2200012
3/14/2012,124.9700012
3/15/2012,123.5500031
3/16/2012,125.8099976
3/19/2012,125.7099991
3/20/2012,124.1200027
3/21/2012,124.1999969
3/22/2012,123.1399994
3/23/2012,125.1299973
3/26/2012,125.6500015
3/27/2012,125.5400009
3/28/2012,124.1600037
3/29/2012,122.3899994
3/30/2012,122.8799973
4/2/2012,125.4300003
4/3/2012,124.8600006
4/4/2012,122.3399963
4/5/2012,123.4300003
4/9/2012,122.6699982
4/10/2012,119.8799973
4/11/2012,120.1800003
4/12/2012,121.7099991
4/13/2012,121.8300018
4/16/2012,118.6800003
4/17/2012,118.7799988
4/18/2012,117.9700012
4/19/2012,118
4/20/2012,118.7600021
4/23/2012,118.7099991
4/24/2012,118.1600037
4/25/2012,119.1200027
4/26/2012,119.9199982
4/27/2012,119.8300018
4/30/2012,119.4700012
5/1/2012,119.6600037
5/2/2012,118.1999969
5/3/2012,116.0800018
5/4/2012,113.1800003
5/7/2012,113.1600037
5/8/2012,112.7300034
5/9/2012,113.1999969
5/10/2012,112.7300034
5/11/2012,112.2600021
5/14/2012,111.5699997
5/15/2012,112.2399979
5/16/2012,111.7099991
5/17/2012,107.4899979
5/18/2012,107.1399994
5/21/2012,108.8099976
5/22/2012,108.4100037
5/23/2012,105.5599976
