"Date","Price","Open","High","Low","Change %"
"02/01/2021","12.980","12.590","13.170","12.500","3.26%"
"01/01/2021","12.570","12.690","13.170","12.530","0.48%"
"12/01/2020","12.510","11.930","13.160","11.920","4.86%"
"11/01/2020","11.930","14.180","14.430","11.520","-15.39%"
"10/01/2020","14.100","12.930","14.440","12.570","9.05%"
"09/01/2020","12.930","13.250","13.760","12.640","-4.65%"
"08/01/2020","13.560","12.640","15.920","12.600","6.77%"
"07/01/2020","12.700","11.590","12.970","11.500","10.43%"
"06/01/2020","11.500","11.410","11.990","11.250","-6.05%"
"05/01/2020","12.240","11.700","12.870","11.490","6.81%"
"04/01/2020","11.460","13.120","14.560","11.390","-12.65%"
"03/01/2020","13.120","12.400","13.660","10.970","2.50%"
"02/01/2020","12.800","10.020","13.030","9.980","28.00%"
"01/01/2020","10.000","12.000","12.200","9.850","-16.67%"
"12/01/2019","12.000","12.080","12.440","11.810","-1.48%"
"11/01/2019","12.180","12.530","12.590","11.850","-3.87%"
"10/01/2019","12.670","13.200","15.540","12.450","-4.02%"
"09/01/2019","13.200","15.580","15.580","13.090","-15.87%"
"08/01/2019","15.690","15.210","16.500","14.300","5.23%"
"07/01/2019","14.910","16.080","16.790","14.850","-7.96%"
"06/01/2019","16.200","18.120","18.120","15.360","-10.79%"
"05/01/2019","18.160","18.950","20.820","18.140","-4.17%"
"04/01/2019","18.950","17.860","19.040","16.540","6.10%"
"03/01/2019","17.860","14.470","18.720","14.470","23.43%"
"02/01/2019","14.470","13.900","15.070","13.820","4.55%"
"01/01/2019","13.840","15.830","16.970","13.790","-12.57%"
"12/01/2018","15.830","16.700","18.030","15.830","-2.28%"
"11/01/2018","16.200","17.730","18.290","15.480","-8.63%"
"10/01/2018","17.730","17.450","20.740","16.990","2.43%"
"09/01/2018","17.310","21.390","21.390","17.050","-16.38%"
"08/01/2018","20.700","18.010","22.820","17.710","15.38%"
"07/01/2018","17.940","16.320","19.070","16.180","10.06%"
"06/01/2018","16.300","13.850","18.080","13.850","17.69%"
"05/01/2018","13.850","12.920","15.870","12.320","13.15%"
"04/01/2018","12.240","12.220","13.300","12.150","0.41%"
"03/01/2018","12.190","11.610","12.930","11.530","5.27%"
"02/01/2018","11.580","11.420","12.070","11.320","1.58%"
"01/01/2018","11.400","11.450","12.510","11.320","-0.26%"
"12/01/2017","11.430","12.240","12.590","11.300","-4.83%"
"11/01/2017","12.010","11.650","12.870","11.430","4.34%"
"10/01/2017","11.510","10.720","11.990","10.680","7.67%"
"09/01/2017","10.690","10.350","11.000","10.320","3.19%"
"08/01/2017","10.360","10.340","10.660","9.940","0.19%"
"07/01/2017","10.340","10.330","10.660","10.200","0.58%"
"06/01/2017","10.280","10.250","10.430","10.040","0.88%"
"05/01/2017","10.190","10.310","10.740","10.120","-0.39%"
"04/01/2017","10.230","10.670","10.930","10.100","-3.94%"
"03/01/2017","10.650","10.690","11.230","10.410","0.47%"
"02/01/2017","10.600","10.760","10.900","10.420","-0.84%"
"01/01/2017","10.690","11.220","11.740","10.680","-3.61%"
"12/01/2016","11.090","10.870","11.650","10.680","2.21%"
"11/01/2016","10.850","9.840","11.640","9.800","10.49%"
"10/01/2016","9.820","9.490","10.090","9.360","3.37%"
"09/01/2016","9.500","9.610","10.010","9.240","-1.04%"
"08/01/2016","9.600","9.490","9.960","9.330","0.95%"
"07/01/2016","9.510","9.040","10.230","8.810","5.32%"
"06/01/2016","9.030","9.860","10.020","9.020","-6.81%"
"05/01/2016","9.690","9.040","10.470","9.010","7.19%"
"04/01/2016","9.040","9.830","9.830","8.890","-6.90%"
"03/01/2016","9.710","10.340","10.440","9.690","-5.91%"
"02/01/2016","10.320","10.560","11.200","10.260","-2.09%"
"01/01/2016","10.540","10.580","11.280","10.500","0.67%"
"12/01/2015","10.470","9.900","10.910","9.810","5.76%"
"11/01/2015","9.900","9.510","10.240","9.040","3.77%"
"10/01/2015","9.540","10.740","10.740","9.410","-11.34%"
"09/01/2015","10.760","9.970","10.880","9.950","8.25%"
"08/01/2015","9.940","9.440","10.710","9.320","6.42%"
"07/01/2015","9.340","9.210","9.870","9.080","1.63%"
"06/01/2015","9.190","9.090","9.770","8.930","2.57%"
"05/01/2015","8.960","9.250","9.380","8.750","-1.97%"
"04/01/2015","9.140","8.220","9.500","7.960","11.33%"
"03/01/2015","8.210","8.530","8.530","7.870","0.00%"
"02/01/2015","8.210","7.070","8.530","6.980","17.45%"
"01/01/2015","6.990","7.940","8.080","6.740","-13.60%"
"12/01/2014","8.090","7.730","9.000","7.490","6.45%"
"11/01/2014","7.600","8.630","8.840","7.590","-10.38%"
"10/01/2014","8.480","9.720","9.720","8.390","-12.76%"
"09/01/2014","9.720","8.910","9.980","8.730","8.85%"
"08/01/2014","8.930","8.880","9.660","8.870","0.56%"
"07/01/2014","8.880","8.700","9.290","8.510","1.60%"
