"Date","Price","Open","High","Low","Change %"
"08/01/2021","15.272","15.272","15.272","15.272","-0.29%"
"07/01/2021","15.316","15.316","15.316","15.316","3.33%"
"06/01/2021","14.823","14.823","14.823","14.823","-0.48%"
"05/01/2021","14.894","14.894","14.894","14.894","0.28%"
"04/01/2021","14.853","14.853","14.853","14.853","-0.42%"
"03/01/2021","14.915","14.915","14.915","14.915","1.82%"
"02/01/2021","14.649","14.649","14.649","14.649","1.16%"
"01/01/2021","14.481","14.481","14.481","14.481","0.00%"
"12/01/2020","14.481","14.481","14.481","14.481","0.02%"
"11/01/2020","14.478","14.478","14.478","14.478","-1.42%"
"10/01/2020","14.687","14.687","14.687","14.687","0.75%"
"09/01/2020","14.578","14.578","14.578","14.578","-1.15%"
"08/01/2020","14.747","14.747","14.747","14.747","1.99%"
"07/01/2020","14.459","14.459","14.459","14.459","3.94%"
"06/01/2020","13.911","13.911","13.911","13.911","-0.61%"
"05/01/2020","13.997","13.997","13.997","13.997","2.92%"
"04/01/2020","13.600","13.600","13.600","13.600","-9.05%"
"03/01/2020","14.954","14.954","14.954","14.954","9.55%"
"02/01/2020","13.650","13.650","13.650","13.650","0.00%"
"01/01/2020","13.650","13.650","13.650","13.650","-0.38%"
"12/01/2019","13.702","13.702","13.702","13.702","-1.30%"
"11/01/2019","13.883","13.883","13.883","13.883","-1.96%"
"10/01/2019","14.160","14.160","14.160","14.160","1.87%"
"09/01/2019","13.900","13.900","13.900","13.900","-5.51%"
"08/01/2019","14.710","14.710","14.710","14.710","-6.48%"
"07/01/2019","15.730","15.730","15.730","15.730","0.00%"
"06/01/2019","15.730","15.730","15.730","15.730","-1.47%"
"05/01/2019","15.964","15.964","15.964","15.964","-2.06%"
"04/01/2019","16.300","16.300","16.300","16.300","-1.81%"
"03/01/2019","16.600","16.600","16.600","16.600","-5.68%"
"02/01/2019","17.600","17.600","17.600","17.600","-0.85%"
"01/01/2019","17.750","17.750","17.750","17.750","-1.97%"
"12/01/2018","18.106","18.106","18.106","18.106","1.72%"
"11/01/2018","17.800","17.800","17.800","17.800","-1.39%"
"10/01/2018","18.050","18.050","18.050","18.050","-3.58%"
"09/01/2018","18.720","18.720","18.720","18.720","3.14%"
"08/01/2018","18.150","18.150","18.150","18.150","6.08%"
"07/01/2018","17.110","17.110","17.110","17.110","0.94%"
"06/01/2018","16.950","16.950","16.950","16.950","10.64%"
"05/01/2018","15.320","15.320","15.320","15.320","2.72%"
"04/01/2018","14.915","14.915","14.915","14.915","0.61%"
"03/01/2018","14.825","14.825","14.825","14.825","0.17%"
"02/01/2018","14.800","14.800","14.800","14.800","0.34%"
"01/01/2018","14.750","14.750","14.750","14.750","-8.84%"
"12/01/2017","16.180","16.180","16.180","16.180","-0.19%"
"11/01/2017","16.210","16.210","16.210","16.210","3.58%"
"10/01/2017","15.650","15.650","15.650","15.650","1.29%"
"09/01/2017","15.450","15.450","15.450","15.450","-8.25%"
"08/01/2017","16.840","16.840","16.840","16.840","-5.45%"
"07/01/2017","17.810","17.810","17.810","17.810","-3.05%"
"06/01/2017","18.370","18.370","18.370","18.370","-1.13%"
"05/01/2017","18.580","18.580","18.580","18.580","8.46%"
"04/01/2017","17.130","17.130","17.130","17.130","-1.66%"
"03/01/2017","17.420","17.420","17.420","17.420","2.77%"
"02/01/2017","16.950","16.950","16.950","16.950","-2.31%"
"01/01/2017","17.350","17.350","17.350","17.350","1.17%"
"12/01/2016","17.150","17.150","17.150","17.150","0.76%"
"11/01/2016","17.020","17.020","17.020","17.020","-3.19%"
"10/01/2016","17.580","17.580","17.580","17.580","0.46%"
"09/01/2016","17.500","17.500","17.500","17.500","-0.51%"
"08/01/2016","17.590","17.590","17.590","17.590","-1.24%"
"07/01/2016","17.810","17.810","17.810","17.810","-0.89%"
"06/01/2016","17.970","17.970","17.970","17.970","4.23%"
"05/01/2016","17.240","17.240","17.240","17.240","-0.29%"
"04/01/2016","17.290","17.290","17.290","17.290","0.82%"
"03/01/2016","17.150","17.150","17.150","17.150","8.20%"
"02/01/2016","15.850","15.850","15.850","15.850","0.51%"
"01/01/2016","15.770","15.770","15.770","15.770","1.48%"
"12/01/2015","15.540","15.540","15.540","15.540","1.90%"
"11/01/2015","15.250","15.250","15.250","15.250","-1.04%"
"10/01/2015","15.410","15.410","15.410","15.410","2.05%"
"09/01/2015","15.100","15.100","15.100","15.100","-1.95%"
"08/01/2015","15.400","15.400","15.400","15.400","-0.65%"
"07/01/2015","15.500","15.500","15.500","15.500","5.80%"
"06/01/2015","14.650","14.650","14.650","14.650","0.69%"
"05/01/2015","14.550","14.550","14.550","14.550","1.39%"
"04/01/2015","14.350","14.350","14.350","14.350","-0.69%"
"03/01/2015","14.450","14.450","14.450","14.450","1.76%"
"02/01/2015","14.200","14.200","14.200","14.200","-3.07%"
"01/01/2015","14.650","14.650","14.650","14.650","-1.68%"
"12/01/2014","14.900","14.900","14.900","14.900","-6.76%"
"11/01/2014","15.980","15.980","15.980","15.980","0.00%"
"10/01/2014","15.980","15.980","15.980","15.980","0.19%"
"09/01/2014","15.950","15.950","15.950","15.950","0.31%"
"08/01/2014","15.900","15.900","15.900","15.900","0.32%"
"07/01/2014","15.850","15.850","15.850","15.850","2.59%"
"06/01/2014","15.450","15.450","15.450","15.450","-0.32%"
"05/01/2014","15.500","15.500","15.500","15.500","0.65%"
"04/01/2014","15.400","15.400","15.400","15.400","1.65%"
"03/01/2014","15.150","15.150","15.150","15.150","0.66%"
"02/01/2014","15.050","15.050","15.050","15.050","-0.33%"
"01/01/2014","15.100","15.100","15.100","15.100","4.14%"
"12/01/2013","14.500","14.500","14.500","14.500","0.00%"
"11/01/2013","14.500","14.500","14.500","14.500","-9.94%"
"10/01/2013","16.100","16.100","16.100","16.100","-2.72%"
"09/01/2013","16.550","16.550","16.550","16.550","0.91%"
"08/01/2013","16.400","16.400","16.400","16.400","-1.50%"
"07/01/2013","16.650","16.650","16.650","16.650","0.00%"
"06/01/2013","16.650","16.650","16.650","16.650","0.00%"
"05/01/2013","16.650","16.650","16.650","16.650","-0.30%"
"04/01/2013","16.700","16.700","16.700","16.700","0.00%"
"03/01/2013","16.700","16.700","16.700","16.700","1.52%"
"02/01/2013","16.450","16.450","16.450","16.450","0.61%"
"01/01/2013","16.350","16.350","16.350","16.350","-2.10%"
"12/01/2012","16.700","16.700","16.700","16.700","0.00%"
"11/01/2012","16.700","16.700","16.700","16.700","3.09%"
"10/01/2012","16.200","16.200","16.200","16.200","-6.09%"
"09/01/2012","17.250","17.250","17.250","17.250","1.47%"
"08/01/2012","17.000","17.000","17.000","17.000","0.00%"
"07/01/2012","17.000","17.000","17.000","17.000","0.00%"
"06/01/2012","17.000","17.000","17.000","17.000","0.00%"
"05/01/2012","17.000","17.000","17.000","17.000","0.00%"
"04/01/2012","17.000","17.000","17.000","17.000","17.24%"
"03/01/2012","14.500","14.500","14.500","14.500","-3.33%"
"02/01/2012","15.000","15.000","15.000","15.000","5.63%"
"01/01/2012","14.200","14.200","14.200","14.200","-8.39%"
"11/01/2011","15.500","15.500","15.500","15.500","0.00%"
"10/01/2011","15.500","15.500","15.500","15.500","1.64%"
"09/01/2011","15.250","15.250","15.250","15.250","-1.61%"
"08/01/2011","15.500","15.500","15.500","15.500","11.91%"
"07/01/2011","13.850","13.850","13.850","13.850","0.73%"
"06/01/2011","13.750","13.750","13.750","13.750","-1.79%"
"05/01/2011","14.000","14.000","14.000","14.000","-4.11%"
"04/01/2011","14.600","14.600","14.600","14.600","2.18%"
"03/01/2011","14.288","14.288","14.288","14.288","9.38%"
"02/01/2011","13.063","13.063","13.063","13.063","0.48%"
"01/01/2011","13.000","13.000","13.000","13.000","0.00%"
"12/01/2010","13.000","13.000","13.000","13.000","0.39%"
"11/01/2010","12.950","12.950","12.950","12.950","-0.38%"
"10/01/2010","13.000","13.000","13.000","13.000","0.00%"
"09/01/2010","13.000","13.000","13.000","13.000","-0.38%"
