"Date","Price","Open","High","Low","Change %"
"08/01/2020","9.285","9.285","9.285","9.285","0.43%"
"07/01/2020","9.245","9.245","9.245","9.245","-0.27%"
"06/01/2020","9.270","9.270","9.270","9.270","4.22%"
"05/01/2020","8.895","8.895","8.895","8.895","-13.39%"
"04/01/2020","10.270","10.270","10.270","10.270","-6.34%"
"03/01/2020","10.965","10.965","10.965","10.965","20.43%"
"02/01/2020","9.105","9.105","9.105","9.105","1.39%"
"01/01/2020","8.980","8.980","8.980","8.980","8.78%"
"12/01/2019","8.255","8.255","8.255","8.255","-2.37%"
"11/01/2019","8.455","8.455","8.455","8.455","-0.47%"
"10/01/2019","8.495","8.495","8.495","8.495","1.86%"
"09/01/2019","8.340","8.340","8.340","8.340","1.34%"
"08/01/2019","8.230","8.230","8.230","8.230","-1.14%"
"07/01/2019","8.325","8.325","8.325","8.325","2.84%"
"06/01/2019","8.095","8.095","8.095","8.095","-4.60%"
"05/01/2019","8.485","8.485","8.485","8.485","-0.76%"
"04/01/2019","8.550","8.550","8.550","8.550","-0.70%"
"03/01/2019","8.610","8.610","8.610","8.610","-1.03%"
"02/01/2019","8.700","8.700","8.700","8.700","1.28%"
"01/01/2019","8.590","8.590","8.590","8.590","-3.32%"
"12/01/2018","8.885","8.885","8.885","8.885","-0.62%"
"11/01/2018","8.940","8.940","8.940","8.940","-4.64%"
"10/01/2018","9.375","9.375","9.375","9.375","4.17%"
"09/01/2018","9.000","9.000","9.000","9.000","0.22%"
"08/01/2018","8.980","8.980","8.980","8.980","4.54%"
"07/01/2018","8.590","8.590","8.590","8.590","-2.77%"
"06/01/2018","8.835","8.835","8.835","8.835","3.27%"
"05/01/2018","8.555","8.555","8.555","8.555","4.46%"
"04/01/2018","8.190","8.190","8.190","8.190","2.63%"
"03/01/2018","7.980","7.980","7.980","7.980","-1.78%"
"02/01/2018","8.125","8.125","8.125","8.125","-4.07%"
"01/01/2018","8.470","8.470","8.470","8.470","-1.57%"
"12/01/2017","8.605","8.605","8.605","8.605","-7.67%"
"11/01/2017","9.320","9.320","9.320","9.320","2.36%"
"10/01/2017","9.105","9.105","9.105","9.105","6.37%"
"09/01/2017","8.560","8.560","8.560","8.560","-0.12%"
"08/01/2017","8.570","8.570","8.570","8.570","-0.58%"
"07/01/2017","8.620","8.620","8.620","8.620","-1.99%"
"06/01/2017","8.795","8.795","8.795","8.795","2.27%"
"05/01/2017","8.600","8.600","8.600","8.600","-1.21%"
"04/01/2017","8.705","8.705","8.705","8.705","-1.64%"
"03/01/2017","8.850","8.850","8.850","8.850","0.57%"
"02/01/2017","8.800","8.800","8.800","8.800","-0.23%"
"01/01/2017","8.820","8.820","8.820","8.820","-1.18%"
"12/01/2016","8.925","8.925","8.925","8.925","-1.16%"
"11/01/2016","9.030","9.030","9.030","9.030","3.56%"
"10/01/2016","8.720","8.720","8.720","8.720","0.46%"
"09/01/2016","8.680","8.680","8.680","8.680","-4.04%"
"08/01/2016","9.045","9.045","9.045","9.045","4.57%"
"07/01/2016","8.650","8.650","8.650","8.650","-2.15%"
"06/01/2016","8.840","8.840","8.840","8.840","-5.86%"
"05/01/2016","9.390","9.390","9.390","9.390","4.62%"
"04/01/2016","8.975","8.975","8.975","8.975","-1.54%"
"03/01/2016","9.115","9.115","9.115","9.115","-3.24%"
"02/01/2016","9.420","9.420","9.420","9.420","2.28%"
"01/01/2016","9.210","9.210","9.210","9.210","-5.73%"
"12/01/2015","9.770","9.770","9.770","9.770","13.94%"
"11/01/2015","8.575","8.575","8.575","8.575","2.82%"
"10/01/2015","8.340","8.340","8.340","8.340","-1.42%"
"09/01/2015","8.460","8.460","8.460","8.460","1.20%"
"08/01/2015","8.360","8.360","8.360","8.360","1.33%"
"07/01/2015","8.250","8.250","8.250","8.250","-0.54%"
"06/01/2015","8.295","8.295","8.295","8.295","1.59%"
"05/01/2015","8.165","8.165","8.165","8.165","2.64%"
"04/01/2015","7.955","7.955","7.955","7.955","1.79%"
"03/01/2015","7.815","7.815","7.815","7.815","2.29%"
"02/01/2015","7.640","7.640","7.640","7.640","11.13%"
"01/01/2015","6.875","6.875","6.875","6.875","-11.86%"
"12/01/2014","7.800","7.800","7.800","7.800","6.34%"
"11/01/2014","7.335","7.335","7.335","7.335","-4.18%"
"10/01/2014","7.655","7.655","7.655","7.655","-6.02%"
"09/01/2014","8.145","8.145","8.145","8.145","5.16%"
